Season,Team1ID,Team2ID,T1Win,T1PPG,T1FG%,T1FT%,T1Ast,T1Def,T1ORating,T1DRating,T2PPG,T2FG%,T2FT%,T2Ast,T2Def,T2ORating,T2DRating,T1_Seed,T2_Seed,SeedDiff,T1_Rank,T2_Rank,RankDiff
2003,1104,1231,0.0,65.423,0.419,33.231,12.519,9.25,105.508,99.734,65.016,0.42,32.172,13.906,6.89,106.298,96.502,10,7,3,33.549,42.495,-8.945999999999998
2003,1112,1211,1.0,84.578,0.458,43.301,18.042,13.097,111.26,93.396,80.916,0.454,38.366,15.816,8.666,112.875,102.936,1,9,-8,1.794,41.429,-39.635000000000005
2003,1112,1242,0.0,84.578,0.458,43.301,18.042,13.097,111.26,93.396,81.166,0.498,41.768,17.042,13.881,111.868,93.143,1,2,-1,1.794,6.052,-4.257999999999999
2003,1112,1323,1.0,84.578,0.458,43.301,18.042,13.097,111.26,93.396,74.923,0.434,38.25,14.023,11.113,103.096,95.502,1,5,-4,1.794,20.608,-18.814
2003,1112,1436,1.0,84.578,0.458,43.301,18.042,13.097,111.26,93.396,59.37,0.38,36.24,13.166,11.426,85.146,78.91,1,16,-15,1.794,165.011,-163.21699999999998
2003,1113,1242,0.0,78.286,0.475,35.446,15.09,10.446,112.766,98.23,81.166,0.498,41.768,17.042,13.881,111.868,93.143,10,2,8,35.0,6.052,28.948
2003,1113,1272,1.0,78.286,0.475,35.446,15.09,10.446,112.766,98.23,72.74,0.402,40.889,13.815,9.834,104.06,96.465,10,7,3,35.0,23.042,11.957999999999998
2003,1120,1386,1.0,70.029,0.449,35.724,12.856,12.012,103.42,94.758,66.554,0.409,35.625,12.41,12.446,103.552,94.122,10,7,3,45.44,23.185,22.255
2003,1120,1393,0.0,70.029,0.449,35.724,12.856,12.012,103.42,94.758,78.857,0.492,39.369,15.042,15.572,109.51,94.004,10,3,7,45.44,12.412,33.028
2003,1120,1448,1.0,70.029,0.449,35.724,12.856,12.012,103.42,94.758,73.707,0.426,41.595,11.793,13.146,105.193,96.194,10,2,8,45.44,10.515,34.925
2003,1122,1257,0.0,66.634,0.451,31.827,12.096,9.866,95.404,90.536,80.457,0.485,36.888,16.13,12.465,115.28,97.444,13,4,9,98.538,11.546,86.99199999999999
2003,1139,1257,1.0,64.286,0.462,26.643,12.322,7.458,109.312,99.132,80.457,0.485,36.888,16.13,12.465,115.28,97.444,12,4,8,38.044,11.546,26.497999999999998
2003,1139,1280,1.0,64.286,0.462,26.643,12.322,7.458,109.312,99.132,57.983,0.418,33.5,12.189,11.224,96.833,87.724,12,5,7,38.044,19.323,18.720999999999997
2003,1139,1328,0.0,64.286,0.462,26.643,12.322,7.458,109.312,99.132,67.384,0.442,36.102,14.088,10.172,107.091,89.339,12,1,15,38.044,8.423,29.620999999999995
2003,1140,1163,0.0,62.742,0.392,38.207,12.242,10.758,96.492,87.338,76.661,0.438,42.126,13.293,12.046,106.12,94.43,12,5,7,27.341,32.226,-4.884999999999998
2003,1141,1166,1.0,74.75,0.484,32.928,13.732,10.625,105.078,95.264,75.645,0.472,32.403,18.274,12.274,106.021,95.805,11,6,5,53.264,24.072,29.192000000000004
2003,1141,1181,0.0,74.75,0.484,32.928,13.732,10.625,105.078,95.264,76.988,0.456,34.908,11.696,15.925,108.816,90.742,11,3,8,53.264,12.144,41.120000000000005
2003,1143,1301,1.0,72.464,0.47,33.16,13.678,9.446,107.607,101.484,73.0,0.452,33.896,15.362,11.758,107.843,101.483,8,9,-1,31.653,53.758,-22.105000000000004
2003,1143,1328,0.0,72.464,0.47,33.16,13.678,9.446,107.607,101.484,67.384,0.442,36.102,14.088,10.172,107.091,89.339,8,1,7,31.653,8.423,23.229999999999997
2003,1153,1211,0.0,68.408,0.402,35.148,12.704,11.204,103.55,96.9,80.916,0.454,38.366,15.816,8.666,112.875,102.936,8,9,-1,36.473,41.429,-4.956000000000003
2003,1160,1277,0.0,69.4,0.438,38.666,11.066,13.366,99.146,93.882,69.008,0.461,35.358,13.25,8.175,107.682,92.581,10,7,3,40.396,37.473,2.923000000000002
2003,1161,1181,0.0,65.203,0.424,34.26,11.834,9.278,93.88,90.561,76.988,0.456,34.908,11.696,15.925,108.816,90.742,14,3,15,106.714,12.144,94.57
2003,1163,1140,1.0,76.661,0.438,42.126,13.293,12.046,106.12,94.43,62.742,0.392,38.207,12.242,10.758,96.492,87.338,5,12,-7,32.226,27.341,4.884999999999998
2003,1163,1390,1.0,76.661,0.438,42.126,13.293,12.046,106.12,94.43,74.233,0.446,37.966,14.465,9.483,106.557,98.952,5,4,1,32.226,21.773,10.453
2003,1163,1400,0.0,76.661,0.438,42.126,13.293,12.046,106.12,94.43,80.423,0.442,41.138,14.45,9.058,114.736,99.563,5,1,4,32.226,5.753,26.473
2003,1166,1141,0.0,75.645,0.472,32.403,18.274,12.274,106.021,95.805,74.75,0.484,32.928,13.732,10.625,105.078,95.264,6,11,-5,24.072,53.264,-29.192000000000004
2003,1173,1409,0.0,71.896,0.438,32.328,13.104,7.155,108.392,101.922,72.8,0.486,37.284,14.916,9.016,109.426,96.205,4,13,-9,24.433,62.703,-38.27
2003,1181,1141,1.0,76.988,0.456,34.908,11.696,15.925,108.816,90.742,74.75,0.484,32.928,13.732,10.625,105.078,95.264,3,11,-8,12.144,53.264,-41.120000000000005
2003,1181,1161,1.0,76.988,0.456,34.908,11.696,15.925,108.816,90.742,65.203,0.424,34.26,11.834,9.278,93.88,90.561,3,14,-15,12.144,106.714,-94.57
2003,1181,1242,0.0,76.988,0.456,34.908,11.696,15.925,108.816,90.742,81.166,0.498,41.768,17.042,13.881,111.868,93.143,3,2,1,12.144,6.052,6.0920000000000005
